date,revenue,total_revenue,revenue_change
24/08/22,49924,49924,
25/08/22,430860,480784,763.03
26/08/22,534766,1015550,24.12
27/08/22,817053,1832603,52.79
28/08/22,1133370,2965973,38.71
29/08/22,1279891,4245864,12.93
30/08/22,1279377,5525241,-0.04
31/08/22,1312720,6837961,2.61
01/09/22,1406101,8244062,7.11
02/09/22,1907107,10151169,35.63
03/09/22,2210988,12362157,15.93
04/09/22,2294009,14656166,3.75
05/09/22,1784690,16440856,-22.2
06/09/22,1330931,17771787,-25.43
07/09/22,1807800,19579587,35.83
08/09/22,2099508,21679095,16.14
