date,running_arpu,running_arppu,running_aov
24/08/22,372.57,393.1,361.77
25/08/22,499.26,517.53,401.66
26/08/22,512.9,530.87,384.1
27/08/22,571.8,590.21,382.99
28/08/22,632.13,649.72,381.08
29/08/22,707.53,726.29,384.24
30/08/22,766.86,786.4,383.14
31/08/22,792.81,813.46,383.49
01/09/22,813.18,832.9,383.11
02/09/22,844.17,863.05,382.77
03/09/22,886.24,904.39,383.57
04/09/22,921.71,938.78,383.28
05/09/22,950.45,967.17,383.11
06/09/22,970.18,986.72,383.3
07/09/22,992.38,1007.85,382.85
08/09/22,1012.99,1028.03,382.91
